Video Title,Video ID,Video Link,Published Date,Username,Comment
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@ayusalmamylove9788,"Kita yang tak pandai menari, dikatakan pula lantai yang tidak rata.<br>Setingkat Franz Beckenbauer pun pelatih tidak akan mampu."
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@keviyusmadiah1381,"Kenapa orang licik ko bisa Ketum PSSI ,Erik Tohir itu manusia licik,semoga pelatih yg dapet si Erik ,Indonesia kalah,"
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@MahadiNj-ds4oj,TERIMAKASIH COACH SHIN TAE YONG.. ANDA YG TERBAIK SEJAUH INI🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇲🇨
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@MahadiNj-ds4oj,PERTANDA BURUK . apalagi isunya yg gantikan sty si PATRICK KELIPET..   ga yakin gw sama kelipet.. kalo VAN GALL gie setuju banget.
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@adesugiarto1131,Semoga saja bukan Fakhrul Husainan yg gantikan STY seperti harapan bung Tiwil
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@SuryaAndi-ue6vq,"bangsa yang besar adalah bangsa yang tidak melupakan sejarah, dan sejarah itu telah anda ukir... thanks for all coach STY..."
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@bangkumisvlog,"Belum apa apa sudah di ganti pelatih, STY sudah dapat membuat team  Garuda bisa berkompetisi, sudah dapat mencetak sejarah sepakbola Indonesia. Jangan samakan PSSI dengan Inter Milan, ingat pesan almarhum GUSDUR, hanya pelatih bermata sipit yg bisa membuat team Garuda Indonesia masuk ke PIALA DUNIA"
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@rizaliston2637,Kacang lupa kulitnya itulah PSSI. <br>Puas kamu TOWEL 😡😡
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@HeriCadut,😢😢😢 .terima kasih sty kenerjamu sangat membanggakan .
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@LiaAlvin-w5x,Jadi pesimis lagi deh nonton timnas
